#timebase=568041472(ps)
,#voltbase=2000000(uV)
#size=4064
2.06800E+00,-0.036
2.07000E+00,-0.040
2.07200E+00,-0.032
2.07400E+00,-0.032
2.07600E+00,-0.040
2.07800E+00,-0.040
2.08000E+00,-0.040
2.08200E+00,-0.040
2.08400E+00,-0.036
2.08600E+00,-0.036
2.08800E+00,-0.044
2.09000E+00,-0.092
2.09200E+00,-0.040
2.09400E+00,-0.044
2.09600E+00,-0.044
2.09800E+00,-0.028
2.10000E+00,-0.052
2.10200E+00,-0.048
2.10400E+00,-0.048
2.10600E+00,-0.044
2.10800E+00,-0.048
2.11000E+00,-0.048
2.11200E+00,-0.052
2.11400E+00,-0.064
2.11600E+00,-0.048
2.11800E+00,-0.044
2.12000E+00,-0.052
2.12200E+00,-0.056
2.12400E+00,-0.056
2.12600E+00,-0.048
2.12800E+00,-0.060
2.13000E+00,-0.052
2.13200E+00,-0.048
2.13400E+00,-0.060
2.13600E+00,-0.056
2.13800E+00,-0.056
2.14000E+00,-0.052
2.14200E+00,-0.056
2.14400E+00,-0.052
2.14600E+00,-0.056
2.14800E+00,-0.052
2.15000E+00,-0.052
2.15200E+00,-0.064
2.15400E+00,-0.064
2.15600E+00,-0.048
2.15800E+00,-0.048
2.16000E+00,-0.064
2.16200E+00,-0.048
2.16400E+00,-0.052
2.16600E+00,-0.056
2.16800E+00,-0.048
2.17000E+00,-0.056
2.17200E+00,-0.052
2.17400E+00,-0.056
2.17600E+00,-0.060
2.17800E+00,-0.056
2.18000E+00,-0.056
2.18200E+00,-0.056
2.18400E+00,-0.056
2.18600E+00,-0.048
2.18800E+00,-0.056
2.19000E+00,-0.048
2.19200E+00,-0.048
2.19400E+00,-0.048
2.19600E+00,-0.048
2.19800E+00,-0.048
2.20000E+00,-0.052
2.20200E+00,-0.044
2.20400E+00,-0.048
2.20600E+00,-0.048
2.20800E+00,-0.052
2.21000E+00,-0.044
2.21200E+00,-0.048
2.21400E+00,-0.052
2.21600E+00,-0.048
2.21800E+00,-0.048
2.22000E+00,-0.044
2.22200E+00,-0.052
