# Time, Voltage, Current
1.161999999999999922e+01,8.000000000000000167e-02,1.904761904761904814e-04
1.162400000000000055e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.162800000000000011e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.163199999999999967e+01,8.000000000000000167e-02,1.904761904761904814e-04
1.163599999999999923e+01,8.000000000000000167e-02,1.904761904761904814e-04
1.164000000000000057e+01,0.000000000000000000e+00,9.523809523809524072e-05
1.164400000000000013e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.164799999999999969e+01,0.000000000000000000e+00,2.857142857142857357e-04
1.165199999999999925e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.165600000000000058e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.166000000000000014e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.166399999999999970e+01,1.600000000000000033e-01,9.523809523809524072e-05
1.166799999999999926e+01,0.000000000000000000e+00,-0.000000000000000000e+00
1.167200000000000060e+01,0.000000000000000000e+00,4.761904761904761901e-04
1.167600000000000016e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.167999999999999972e+01,1.600000000000000033e-01,9.523809523809524072e-05
1.168399999999999928e+01,1.600000000000000033e-01,1.904761904761904814e-04
1.168800000000000061e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.169200000000000017e+01,0.000000000000000000e+00,1.904761904761904814e-04
1.169599999999999973e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.169999999999999929e+01,0.000000000000000000e+00,1.904761904761904814e-04
1.170400000000000063e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.170800000000000018e+01,8.000000000000000167e-02,1.904761904761904814e-04
1.171199999999999974e+01,8.000000000000000167e-02,1.904761904761904814e-04
1.171599999999999930e+01,8.000000000000000167e-02,-0.000000000000000000e+00
1.172000000000000064e+01,8.000000000000000167e-02,1.904761904761904814e-04
1.172400000000000020e+01,1.600000000000000033e-01,9.523809523809524072e-05
1.172799999999999976e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.173199999999999932e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.173600000000000065e+01,8.000000000000000167e-02,1.904761904761904814e-04
1.174000000000000021e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.174399999999999977e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.174799999999999933e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.175200000000000067e+01,8.000000000000000167e-02,1.904761904761904814e-04
1.175600000000000023e+01,1.600000000000000033e-01,0.000000000000000000e+00
1.175999999999999979e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.176399999999999935e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.176800000000000068e+01,1.600000000000000033e-01,0.000000000000000000e+00
1.177200000000000024e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.177599999999999980e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.177999999999999936e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.178400000000000070e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.178800000000000026e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.179199999999999982e+01,8.000000000000000167e-02,1.904761904761904814e-04
1.179599999999999937e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.180000000000000071e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.180400000000000027e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.180799999999999983e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.181199999999999939e+01,8.000000000000000167e-02,1.904761904761904814e-04
1.181600000000000072e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.182000000000000028e+01,8.000000000000000167e-02,-0.000000000000000000e+00
1.182399999999999984e+01,8.000000000000000167e-02,-0.000000000000000000e+00
1.182799999999999940e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.183200000000000074e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.183600000000000030e+01,0.000000000000000000e+00,9.523809523809524072e-05
1.183999999999999986e+01,8.000000000000000167e-02,0.000000000000000000e+00
1.184399999999999942e+01,8.000000000000000167e-02,9.523809523809523801e-04
1.184800000000000075e+01,8.000000000000000167e-02,-0.000000000000000000e+00
1.185200000000000031e+01,8.000000000000000167e-02,9.523809523809524072e-05
1.185599999999999987e+01,0.000000000000000000e+00,0.000000000000000000e+00
