# Time, Target_Strain, Stress, Prediction_Strain
1.544709169433886764e+01,2.783470217661182522e-02,1.669717117285234032e-02,2.497325837612152100e-02
1.949189863372674481e+01,2.678711642428954764e-02,3.073445494538340136e-02,2.331925928592681885e-02
1.369874289857971661e+01,3.663614641309043130e-02,6.609524746679684704e-02,3.730958700180053711e-02
4.000808159631926486e+00,-4.948703101102014390e-03,-1.892943791051421576e-01,-6.292290985584259033e-03
1.359472214642928556e+01,3.593149388642064013e-02,6.299865147376129682e-02,3.684644401073455811e-02
7.569520118023604915e+00,5.160304688318562150e-02,1.267997042551395892e-01,5.084004253149032593e-02
1.453090891578315613e+01,3.687301958661004520e-02,6.355279891107760981e-02,3.563755005598068237e-02
1.041408760952190349e+01,1.082589601082051267e-02,-8.024197817561798396e-02,1.379837095737457275e-02
1.009802455491098172e+01,1.514655778514750750e-02,-6.174746924953167931e-02,1.756060123443603516e-02
1.933186670734146873e+01,2.541714413420304020e-02,2.399290265787554569e-02,2.191037684679031372e-02
1.808361768153630678e+01,1.365372915996049263e-02,-3.833378561959584901e-02,1.199658215045928955e-02
1.226645715743148557e+01,1.847013251362045194e-02,-2.408499243165047876e-02,2.227214723825454712e-02
1.291458645929185778e+01,2.829511862932188038e-02,2.642138616492762521e-02,3.099025040864944458e-02
1.840768233246649288e+01,1.633799483078191006e-02,-2.323127059587698842e-02,1.410047709941864014e-02
1.877175496499299712e+01,1.990539629881077355e-02,-4.140395630991142856e-03,1.698382198810577393e-02
6.593325367073414434e+00,3.412571548844478553e-02,4.628802617775665956e-02,3.430939465761184692e-02
1.122224883776755355e+01,7.668331633764069455e-03,-8.682922218240624046e-02,1.131237298250198364e-02
1.577515714342868591e+01,2.352493809086486642e-02,-4.256269696853674615e-03,2.062965929508209229e-02
9.321959711942388038e-01,1.897726185771959617e-01,8.613326575345663372e-01,1.880379021167755127e-01
1.420284346669333786e+01,3.793013275546669449e-02,7.025664082358433482e-02,3.747346252202987671e-02
4.104828911782355760e+00,-7.564513852279464157e-03,-2.000188927764336433e-01,-8.498348295688629150e-03
5.801257331466292966e-01,2.002307611337870163e-01,9.448453537265499858e-01,2.022252678871154785e-01
6.557318183636726694e+00,3.311134593905051826e-02,4.128399535356197525e-02,3.333697468042373657e-02
